2Theta,Ortho,Tetrag
19.68453028,1823.055949	,1704.505777
19.71053028,1746.887195	,1723.461119
19.73653028,1873.38309	,1739.225238
19.76253028,1867.147165	,1763.907231
19.78853028,1964.978305	,1746.461524
19.81453028,2065.233497	,1680.929085
19.84053028,2082.308629	,1649.891978
19.86653028,2304.703256	,1657.670458
19.89253028,2441.574635	,1714.452138
19.91853028,2455.399488	,1778.78705
19.94453028,2425.312212	,1717.79927
19.97053028,2308.491645	,1743.762406
19.99653028,2069.29468	,1712.879698
20.02253028,1941.298004	,1683.777165
20.04853028,1861.053114	,1698.770846
20.07453028,1757.928446	,1774.777581
20.10053028,1689.930812	,1676.649179
20.12653028,1770.306817	,1766.409025
20.15253028,1696.214516	,1630.011677
20.17853028,1726.442054	,1630.876937
20.20453028,1628.353405	,1665.114816
20.23053028,1650.489405	,1735.164133
20.25653028,1734.646013	,1761.896232
20.28253028,1782.329931	,1766.941529
20.30853028,1697.136548	,1597.21194
20.33453028,1702.739752	,1666.423696
20.36053028,1666.682832	,1690.044749
20.38653028,1643.251147	,1738.31816
20.41253028,1577.299312	,1725.90789
20.43853028,1745.287834	,1720.381267
20.46453028,1758.096298	,1774.990502
20.49053028,1746.229551	,1704.782556
20.51653028,1613.230998	,1610.950767
20.54253028,1621.948506	,1663.070509
20.56853028,1598.712363	,1713.090817
20.59453028,1639.21453	,1630.606107
20.62053028,1690.566038	,1641.859144
20.64653028,1685.308704	,1749.333267
20.67253028,1673.683812	,1680.845653
20.69853028,1637.278208	,1691.30274
20.72453028,1585.072309	,1649.621551
20.75053028,1562.096654	,1710.849367
20.77653028,1610.832369	,1649.881954
20.80253028,1686.211031	,1648.120362
20.82853028,1647.815448	,1711.31827
20.85453028,1691.109496	,1780.970152
20.88053028,1659.768967	,1756.860664
20.90653028,1614.852501	,1625.132366
20.93253028,1566.53525	,1696.286825
20.95853028,1662.176766	,1646.496611
20.98453028,1696.551497	,1613.011555
21.01053028,1720.913884	,1671.062697
21.03653028,1675.47233	,1624.511552
21.06253028,1659.957265	,1648.372154
21.08853028,1611.112674	,1683.184917
21.11453028,1639.473792	,1688.680373
21.14053028,1688.396354	,1642.268165
21.16653028,1659.159817	,1596.612735
21.19253028,1672.008264	,1580.426996
21.21853028,1642.985427	,1652.179893
21.24453028,1555.860129	,1722.613337
21.27053028,1563.229808	,1714.055054
21.29653028,1591.011398	,1657.892425
21.32253028,1616.333538	,1603.922883
21.34853028,1679.171513	,1675.330969
21.37453028,1707.45981	,1698.333213
21.40053028,1697.861649	,1640.850559
21.42653028,1691.364449	,1619.363933
21.45253028,1665.62361	,1635.688956
21.47853028,1604.253853	,1672.184779
21.50453028,1606.447476	,1659.328184
21.53053028,1626.726955	,1626.954716
21.55653028,1591.029251	,1627.009105
21.58253028,1620.446578	,1607.48716
21.60853028,1644.227086	,1639.182403
21.63453028,1607.373557	,1637.46402
21.66053028,1564.21802	,1631.020016
21.68653028,1534.510987	,1660.011912
21.71253028,1595.78002	,1637.456056
21.73853028,1642.689437	,1693.635435
21.76453028,1643.297964	,1689.481905
21.79053028,1658.088673	,1672.602131
21.81653028,1638.20047	,1685.403625
21.84253028,1615.49764	,1646.414262
21.86853028,1627.896196	,1625.135133
21.89453028,1658.864919	,1612.986001
21.92053028,1647.584125	,1564.127879
21.94653028,1605.524986	,1591.346638
21.97253028,1603.182601	,1587.416419
