      Step     Time          Energy         fmax
BFGS:    4 09:30:58      -20.406501        0.0492
BFGS:    5 09:30:58      -20.407181        0.0696
BFGS:    6 09:30:58      -20.408158        0.0819
BFGS:    7 09:30:58      -20.409093        0.0730
BFGS:    8 09:30:58      -20.409478        0.0514
BFGS:    9 09:30:58      -20.409598        0.0374
BFGS:   10 09:30:58      -20.409714        0.0337
BFGS:   11 09:30:58      -20.409927        0.0341
BFGS:   12 09:30:58      -20.410223        0.0263
BFGS:   13 09:30:58      -20.410451        0.0120
BFGS:   14 09:30:58      -20.410518        0.0051
BFGS:   15 09:30:58      -20.410524        0.0007
      Step     Time          Energy         fmax
BFGS:    0 09:35:10      -20.386298        0.2395
BFGS:    1 09:35:10      -20.388559        0.2271
BFGS:    2 09:35:10      -20.408371        0.0294
BFGS:    3 09:35:10      -20.408453        0.0294
BFGS:    4 09:35:10      -20.408634        0.0332
BFGS:    5 09:35:10      -20.408987        0.0464
BFGS:    6 09:35:10      -20.409518        0.0551
BFGS:    7 09:35:10      -20.409965        0.0492
BFGS:    8 09:35:10      -20.410135        0.0356
BFGS:    9 09:35:10      -20.410181        0.0273
BFGS:   10 09:35:10      -20.410227        0.0201
BFGS:   11 09:35:10      -20.410313        0.0192
BFGS:   12 09:35:10      -20.410425        0.0154
BFGS:   13 09:35:10      -20.410503        0.0068
BFGS:   14 09:35:10      -20.410523        0.0026
BFGS:   15 09:35:10      -20.410525        0.0004
      Step     Time          Energy         fmax
BFGS:    0 09:35:11      -40.886005        0.2747
BFGS:    1 09:35:11      -40.888964        0.2672
BFGS:    2 09:35:11      -40.938349        0.0482
BFGS:    3 09:35:11      -40.938748        0.0452
BFGS:    4 09:35:11      -40.939532        0.0306
BFGS:    5 09:35:11      -40.940033        0.0203
BFGS:    6 09:35:11      -40.940278        0.0220
BFGS:    7 09:35:11      -40.940394        0.0224
BFGS:    8 09:35:11      -40.940557        0.0197
BFGS:    9 09:35:11      -40.940764        0.0136
BFGS:   10 09:35:11      -40.940923        0.0108
BFGS:   11 09:35:11      -40.940981        0.0070
BFGS:   12 09:35:11      -40.941000        0.0065
BFGS:   13 09:35:11      -40.941022        0.0068
BFGS:   14 09:35:11      -40.941059        0.0079
BFGS:   15 09:35:11      -40.941099        0.0069
BFGS:   16 09:35:11      -40.941124        0.0063
BFGS:   17 09:35:11      -40.941134        0.0063
BFGS:   18 09:35:11      -40.941141        0.0055
BFGS:   19 09:35:11      -40.941153        0.0040
BFGS:   20 09:35:11      -40.941166        0.0035
BFGS:   21 09:35:11      -40.941173        0.0031
BFGS:   22 09:35:11      -40.941175        0.0034
BFGS:   23 09:35:11      -40.941176        0.0037
BFGS:   24 09:35:11      -40.941178        0.0040
BFGS:   25 09:35:11      -40.941183        0.0041
BFGS:   26 09:35:11      -40.941189        0.0034
BFGS:   27 09:35:12      -40.941194        0.0022
BFGS:   28 09:35:12      -40.941196        0.0023
BFGS:   29 09:35:12      -40.941197        0.0020
BFGS:   30 09:35:12      -40.941198        0.0020
BFGS:   31 09:35:12      -40.941200        0.0022
